Equipment,Description,Location,Cost Center,Planning plant,ManufSerialNo.,Acquistion date,Room,Sort field
220012001,MW120,HSG,22HSG11270,2210,9KX9363530-1(MC8-1135),05/01/2000,,PLANT 1 2017
220012002,MW120,STD,22STD11290,2210,9KX9363530-2(MC8-1136),05/01/2000,,PLANT 1 2017
220012003,Plant 1 2017,HSG,22HSG11203,2210,9KX8335860-1(M80943),06/01/2000,,PLANT 1 2017
220012004,MURATA LATHE RUH LINE 6,HSG,22HSG11205,2210,0KX3360300,01/01/2005,,PLANT 1 2017
220012005,12005,HSG,22HSG11251,2210,9KX8335860-3(M80946),06/01/2000,,PLANT 1 2017
220012006,12006,HSG,22HSG11210,2210,00KX327260002(DT000985),11/01/2000,,PLANT 1 2017
220012007,LBJ HSG 2,HSG,22HSG11211,2210,00KX327260003(DT000986),11/01/2000,,PLANT 1 2017
220012008,12008,HSG,22HSG11251,2210,00KX327260004(DT000987),11/01/2000,,PLANT 1 2017
220012009,12009,HSG,22HSG11295,2210,00KX327260001(DT000984),11/01/2000,,PLANT 1 2017
220012010,MZ60,STD,22STD11230,2210,00KX327210001(DT001001),11/01/2000,,PLANT 1 2017
220012011,PLANT 1 2017,STD,22STD11220,2210,00KX327210003(DT001003),11/01/2000,,PLANT 1 2017
220012012,MZ60,STD,22STD11240,2210,00KX327210002(DT001002),11/01/2000,,PLANT 1 2017
220012013,MW120,CLP,22CLP11316,2210,00KX0355930001(DT001320),05/01/2001,,PLANT 1 2017
220012014,MW120,CLP,22CLP11316,2210,00KX0355930003(DT001322),05/01/2001,,PLANT 1 2017
220012015,MW120,CLP,22CLP11315,2210,00KX0355930002(DT001321),05/01/2001,,PLANT 1 2017
220012016,MW120,CLP,22CLP11315,2210,00KX355630004(DT001323),05/01/2001,,PLANT 1 2017
220012017,MS60,CLP,22CLP11314,2210,00KX0355980001(DT001234),05/01/2001,,WAREHOUSE 2017
220012018,MW120,HSG,22HSG11288,2210,00KX0355980005(DT001349),05/01/2001,,PLANT 1 2017
220012019,MS60,,,2210,00KX0355960002(DT001325),05/01/2001,,WATERLOO 2017
220012020,MW120,HSG,22HSG11272,2210,00KX035598006(DT001350),05/01/2001,,PLANT 1 2017
220012021,MS60,,,2210,00KX0355980003(DT001326),05/01/2001,,WATERLOO 2017
220012022,MW120,HSG,22HSG11287,2210,00KX0355980007(DT001351),05/01/2001,,PLANT 1 2017
220012023,MS60,STD,22STD11244,2210,000KX0355980004(DT1327),05/01/2001,,UNDER REVIEW - TBD
220012024,12024,HSG,22HSG11204,2210,00KX3559800089(DT001327),05/01/2001,,PLANT 1 2017
220012025,MW120,STD,22STD11280,2210,01KX0344150001(DT001996),05/01/2001,,PLANT 1 2017
220012026,LFS10-SSP,CLP,22CLP11317,2210,298,03/01/2002,EL,PLANT 1 2017
220012027,LFS10-SSP,CLP,22CLP11317,2210,299,03/01/2002,EL,PLANT 1 2017
220012028,LFS10-SSP,CLP,22CLP11318,2210,296,03/01/2002,EL,PLANT 1 2017
220012029,LFS10-SSP,CLP,22CLP11318,2210,297,03/01/2002,EL,PLANT 1 2017
220012030,MD120,HSG,22HSG11293,2210,01KX360070001,04/01/2002,,PLANT 1 2017
220012031,MD120,HSG,22HSG11293,2210,01KX360070002,04/01/2002,,PLANT 1 2017
220012033,MW120,CLP,22CLP11321,2210,02KX370170001,07/01/2003,,PLANT 1 2017
220012034,MW120,CLP,22CLP11321,2210,02KX370170002,07/01/2003,,PLANT 1 2017
220012035,MW120,CLP,22CLP11322,2210,02KX37018001,07/01/2003,,WAREHOUSE 2017
220012036,MW120,CLP,22CLP11322,2210,02KX370180002,07/01/2003,,WAREHOUSE 2017
220012038,MZ60,STD,22STD11253,2210,04KX209220001,08/01/2004,,PLANT 1 2017
220012039,MZ60,CRD,22CRD11371,2210,04KX219380001,10/01/2004,,PLANT 1 2017
220012041,ZL-203,STD,22STD11255,2210,ZL200DH0478,11/01/2004,,PLANT 1 2017
220012042,ZL-203 MORI LATHE,GMC,22GMC11415,2220,ZL200DH0479,11/01/2004,EL,WAREHOUSE 2017
220012043,MS60,STD,22STD11248,2210,O4KX238220001,03/01/2005,,PLANT 1 2017
220012044,MS60,STD,22STD11248,2210,04KX238270002,03/01/2005,,PLANT 1 2017
220012045,MS60,STD,22STD11249,2210,04KX238240001,03/01/2005,,PLANT 1 2017
220012046,MS60,STD,22STD11249,2210,04KX238240002,03/01/2005,,PLANT 1 2017
220012047,LU15 OKUMA LATHE,STD,22STD11257,2210,2265(DWG# W6201-100-0444),04/01/2005,,PLANT 1 2017
220012048,LU15 OKUME LATHE,STD,22STD11257,2210,2272(DWG# W6201-100-0444),04/01/2005,,PLANT 1 2017
220012049,LU15 OKUMA LATHE,STD,22STD11259,2210,2275(DWG# W6201-100-0444),04/01/2005,,PLANT 1 2017
220012050,LU15 OKUMA LATHE,STD,22STD11259,2210,2289(DWG# W6201-100-0444),04/01/2005,,PLANT 1 2017
220012052,NZ-S1500/500,HYC,22DCX11404,2220,NZS15G10086,,EL,PLANT 2 2017
220012053,NZ-S1500,HYC,22DCX11404,2220,NZS15G10087,,EL,PLANT 2 2017
220012054,12054,HSG,22HSG11250,2210,,,,PLANT 1 2017
220012056,12056,HSG,22HSG11296,2210,9KX73371303,,,PLANT 1 2017
220012057,MORI SEIKI NZX-S1500/500,FRD,22FRD11429,2220,NZXS1130401,08/01/2013,EL,PLANT 2 2017
220012058,MORI SEIKI NZX-S1500/500,FRD,22FRD11429,2220,NZXS1130402,08/01/2013,EL,PLANT 2 2017
220012059,MORI SEIKI NZX-S1500/500,FRD,22FRD11429,2220,NZXS1130403,08/01/2013,EL,PLANT 2 2017
